dateID,locationID,contentID,NumberNegativeNews,NumberPositiveNews,totalQuantity
468,17871,1024,1,0,1
469,8372,1025,1,0,1
469,2708,1026,1,0,1
470,20896,1027,1,0,1
470,2472,1028,1,0,1
471,12374,1029,1,0,1
472,26463,1030,0,1,1
472,15605,1031,0,1,1
473,4161,1032,1,0,1
473,838,1033,0,1,1
474,8747,1034,0,1,1
475,19638,1035,1,0,1
476,7317,1036,1,0,1
477,3233,1037,1,0,1
478,20273,1038,1,0,1
479,15827,1039,1,0,1
480,25941,1040,1,0,1
480,16466,1041,1,0,1
480,5996,1042,0,1,1
481,11732,1043,0,1,1
481,23772,1044,1,0,1
482,18877,1045,1,0,1
483,18714,1046,1,0,1
484,9447,1047,1,0,1
484,22067,1048,1,0,1
485,21641,1049,1,0,1
486,24488,1050,1,0,1
486,18364,1051,1,0,1
486,11958,1052,0,1,1
487,26952,1053,1,0,1
487,10443,1054,1,0,1
487,4664,1055,0,1,1
488,19095,1056,1,0,1
488,24865,1057,1,0,1
488,20079,1058,0,1,1
489,24527,1059,0,1,1
489,20925,1060,1,0,1
490,5153,1061,1,0,1
